epoch,step,train_loss,val_loss
0,49,22215.9765625,
0,99,19814.806640625,
0,149,18323.89453125,
0,199,18273.537109375,
0,249,18801.689453125,
0,299,17479.541015625,
0,349,17793.208984375,
0,399,16991.98828125,
0,449,16358.5966796875,
0,499,16721.658203125,
0,549,15821.6494140625,
0,599,17151.455078125,
0,649,17533.39453125,
0,699,16022.2919921875,
0,749,15456.169921875,
0,799,16264.931640625,
0,849,14944.869140625,
0,859,,16413.76953125
1,899,14683.951171875,
1,949,15665.67578125,
1,999,16027.126953125,
1,1049,16550.7578125,
1,1099,15731.0869140625,
1,1149,16624.123046875,
1,1199,15964.9130859375,
1,1249,15966.6591796875,
1,1299,15959.7529296875,
1,1349,16488.806640625,
1,1399,16554.0859375,
1,1449,16126.2548828125,
1,1499,15770.5712890625,
1,1549,16032.8388671875,
1,1599,15062.294921875,
1,1649,16312.6630859375,
1,1699,15338.89453125,
1,1719,,15958.1708984375
2,1749,15675.3662109375,
2,1799,15446.0751953125,
2,1849,15332.2080078125,
2,1899,15701.4775390625,
2,1949,15518.1103515625,
2,1999,16173.82421875,
2,2049,15873.1083984375,
2,2099,15508.9228515625,
2,2149,15895.05859375,
2,2199,15989.37109375,
2,2249,15955.3779296875,
2,2299,16256.162109375,
2,2349,15807.689453125,
2,2399,16537.091796875,
2,2449,16361.8505859375,
2,2499,15024.8125,
2,2549,16590.96484375,
2,2579,,15727.9501953125
3,2599,14870.5341796875,
3,2649,15907.77734375,
3,2699,15955.6474609375,
3,2749,15222.404296875,
3,2799,15155.080078125,
3,2849,15164.0908203125,
3,2899,15903.9580078125,
3,2949,15089.2958984375,
3,2999,16872.609375,
3,3049,16853.671875,
3,3099,15133.947265625,
3,3149,15238.294921875,
3,3199,15539.26953125,
3,3249,15982.677734375,
3,3299,15382.25390625,
3,3349,14407.126953125,
3,3399,15143.9462890625,
3,3439,,15669.912109375
